k;Euclidean;Manhattan;Minkowski (p=1,5);Chebyshev;Cosine
175;0,48869389132635843;0,47215659804252447;0,48464394195072563;0,5990550118123523;0,5102936213297333
177;0,48768140398245025;0,47181910226122176;0,48295646304421197;0,5963550455619305;0,505568680391495
179;0,48295646304421197;0,4708066149173135;0,4836314546068174;0,594330070874114;0,5042186972662842
181;0,47890651366857917;0,46979412757340533;0,47991900101248736;0,5916301046236923;0,4984812689841377
183;0,47789402632467093;0,4694566317921026;0,4775565305433682;0,5896051299358758;0,4907188660141748
185;0,47620654741815727;0,4674316571042862;0,47013162335470804;0,5892676341545731;0,48869389132635843
187;0,466419169760378;0,46574417819777253;0,4633817077286534;0,5862301721228484;0,47721903476206545
189;0,4637192035099561;0,46405669929125887;0,46203172460344244;0,5852176847789403;0,4623692203847452
191;0,4630442119473507;0,4633817077286534;0,46000674991562607;0,5852176847789403;0,4603442456969288
193;0,4593317583530206;0,46135673304083696;0,45798177522780964;0,5811677354033075;0,45798177522780964
195;0,456294296321296;0,46000674991562607;0,4552818089773878;0,5693553830577118;0,45595680053999327
